Investor Name,Investor Industries,Investment Stages,Preferred Ticket Size,Investor Location,Lead/Follow Role,Exit Info,Success Rate,Total Investments,Activity Year,Startup Name,Startup Industry,Startup Location,Funding Stage,Description,Founded Year,Team Size,Revenue Stage,Business Model,Customer Segment
Indus Valley Capital,"FinTech, EdTech, Logistics, Healthcare","Seed, Series A",0.1-1M USD,"Karachi, Pakistan",,No exits yet,0%,23,2024,Taleemi Mela,EdTech,"Karachi, Pakistan",Seed,Online marketplace for school supplies,2023,<10,Pre-Revenue,B2C,Consumers
Indus Valley Capital,"FinTech, EdTech, Logistics, Healthcare","Seed, Series A",0.1-1M USD,"Karachi, Pakistan",,No exits yet,0%,23,2024,Abhi Finance,Fintech,"Karachi, Pakistan",Series A,Salary advance and financial wellness platform for employees,2019,30-50,Revenue-Generating,B2B,SMEs
Indus Valley Capital,"FinTech, EdTech, Logistics, Healthcare","Seed, Series A",0.1-1M USD,"Karachi, Pakistan",,No exits yet,0%,23,2024,Bazaar Technologies,E-commerce,"Karachi, Pakistan",Series B,B2B e-commerce marketplace connecting retail shops with wholesalers,2017,50-100,Revenue-Generating,B2B,SMEs
Sarmayacar,"Technology, E-commerce, FinTech","Series A, Series B, Series C",1-5M USD,"Lahore, Pakistan",,Daraz acquired by Alibaba (2018),~6%,27,2023,24Seven.pk,E-commerce,"Karachi, Pakistan",Pre-Series A,Online grocery delivery service offering 30-minute deliveries,2020,<10,Pre-Revenue,B2C,Consumers
Sarmayacar,"Technology, E-commerce, FinTech","Series A, Series B, Series C",1-5M USD,"Lahore, Pakistan",,Daraz acquired by Alibaba (2018),~6%,27,2023,Daraz,E-commerce,"Karachi, Pakistan",Series C,Online marketplace offering a wide range of products across Pakistan,2015,100+,Revenue-Generating,B2C,Consumers
Sarmayacar,"Technology, E-commerce, FinTech","Series A, Series B, Series C",1-5M USD,"Lahore, Pakistan",,Daraz acquired by Alibaba (2018),~6%,27,2023,Homestyle,FinTech,"Lahore, Pakistan",Series A,Innovative venture in the FinTech sector.,2019,30-50,Revenue-Generating,B2C,Consumers
Fatima Gobi Ventures,"FinTech, E-commerce, EdTech","Pre-Seed, Seed, Series A",0.5-2M USD,"Lahore, Pakistan",,No exits yet,0%,29,2022,Tajir,E-commerce,"Lahore, Pakistan",Series A,Online wholesale marketplace for kirana stores,2019,30-50,Revenue-Generating,B2B,SMEs
Fatima Gobi Ventures,"FinTech, E-commerce, EdTech","Pre-Seed, Seed, Series A",0.5-2M USD,"Lahore, Pakistan",,No exits yet,0%,29,2022,Zayn Capital,Logistics,"Karachi, Pakistan",Series A,B2B trucking and logistics platform,2019,30-50,Revenue-Generating,B2B,SMEs
Fatima Gobi Ventures,"FinTech, E-commerce, EdTech","Pre-Seed, Seed, Series A",0.5-2M USD,"Lahore, Pakistan",,No exits yet,0%,29,2022,Educative,EdTech,"Seattle, USA",Series A,Interactive learning platform for software developers,2019,30-50,Revenue-Generating,B2C,Consumers
Zayn Capital,"FinTech, Logistics, AgriTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,15,2022,Bazaar Technologies,E-commerce,"Karachi, Pakistan",Series B,B2B e-commerce marketplace connecting retail shops with wholesalers,2017,50-100,Revenue-Generating,B2B,SMEs
Zayn Capital,"FinTech, Logistics, AgriTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,15,2022,Zarya,E-commerce,"Lahore, Pakistan",N/A,Community group-buying platform for wholesale procurement,N/A,N/A,Pre-Revenue,B2C,Consumers
Zayn Capital,"FinTech, Logistics, AgriTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,15,2022,Kalsoom,AgriTech,"Lahore, Pakistan",Seed,Agricultural supply chain platform supporting farmers with market access,2023,<10,Pre-Revenue,B2B,SMEs
i2i Ventures,Sector Agnostic,"Pre-Seed, Seed",0.25-0.5M USD,"Islamabad, Pakistan",,No exits yet,0%,20,2021,Safepay,Fintech,"Karachi, Pakistan",Pre-Seed,Online payment gateway facilitating digital payments for businesses,2023,<10,Pre-Revenue,B2B,SMEs
i2i Ventures,Sector Agnostic,"Pre-Seed, Seed",0.25-0.5M USD,"Islamabad, Pakistan",,No exits yet,0%,20,2021,Savyour,E-commerce,"Karachi, Pakistan",Seed,Cashback and rewards platform for online shopping in Pakistan,2021,10-30,Pre-Revenue,B2C,Consumers
i2i Ventures,Sector Agnostic,"Pre-Seed, Seed",0.25-0.5M USD,"Islamabad, Pakistan",,No exits yet,0%,20,2021,DEMO,Tech,"Islamabad, Pakistan",,Innovation space and community for entrepreneurs and technologists,N/A,N/A,Revenue-Generating,B2C,Consumers
Lakson Venture Capital,"Technology, Consumer, Media","Seed, Series A",0.5-1M USD,"Karachi, Pakistan",,No exits yet,0%,5,2023,Bykea,Mobility,"Karachi, Pakistan",Series B,"App-based on-demand platform for bike rides, deliveries, and payments",2017,50-100,Revenue-Generating,B2C,Consumers
Lakson Venture Capital,"Technology, Consumer, Media","Seed, Series A",0.5-1M USD,"Karachi, Pakistan",,No exits yet,0%,5,2023,Dawaai,Healthtech,"Karachi, Pakistan",Series B,Online pharmacy and telehealth platform connecting patients to medicines,2017,50-100,Revenue-Generating,B2C,Consumers
TPL e-Ventures,"Technology, Mobility, PropTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,5,2022,Trukkr,Logistics,"Karachi, Pakistan",Pre-Series A,Trucking marketplace connecting freight shippers with truck owners,2020,<10,Pre-Revenue,B2B,SMEs
TPL e-Ventures,"Technology, Mobility, PropTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,5,2022,Muawin,Fintech,"Karachi, Pakistan",Seed,Lending platform providing micro-loans and credit to small businesses,2021,10-30,Pre-Revenue,B2B,SMEs
TPL e-Ventures,"Technology, Mobility, PropTech","Pre-Seed, Seed, Series A",0.2-1M USD,"Karachi, Pakistan",,No exits yet,0%,5,2022,Tajir,E-commerce,"Lahore, Pakistan",Series A,B2B marketplace enabling kirana stores to procure inventory,2019,30-50,Revenue-Generating,B2B,SMEs
Deosai Ventures,Sector Agnostic,"Seed, Series A",0.1-0.3M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2021,Oraan,Fintech,"Karachi, Pakistan",Pre-Series A,Digital committee (ROSCA) platform for women to save and borrow money,2020,<10,Pre-Revenue,B2C,Consumers
Deosai Ventures,Sector Agnostic,"Seed, Series A",0.1-0.3M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2021,Sukoon,Healthcare,"Karachi, Pakistan",Seed,On-demand home healthcare services connecting patients with nurses and caregivers,2021,10-30,Pre-Revenue,B2C,Consumers
47 Ventures,Technology (Sector Agnostic),"Seed, Series A",0.05-0.1M USD,"Lahore, Pakistan",,No exits yet,0%,2,2020,Zeenat,,,,,N/A,N/A,Pre-Revenue,B2C,Consumers
47 Ventures,Technology (Sector Agnostic),"Seed, Series A",0.05-0.1M USD,"Lahore, Pakistan",,No exits yet,0%,2,2020,KalPay,Fintech,"Karachi, Pakistan",Seed,"Shariah-compliant buy-now, pay-later financial service for consumers",2023,<10,Pre-Revenue,B2C,Consumers
Cordoba Ventures,"Healthcare, Education, Impact","Seed, Series A",0.1-0.2M USD,"Karachi, Pakistan",,Dot & Line acquired by Edkasa (2022),0%,2,2021,Sehat Kahani,Healthtech,"Karachi, Pakistan",Series A,Telemedicine platform connecting patients with online doctors and health professionals,2015,100+,Revenue-Generating,B2C,Consumers
Cordoba Ventures,"Healthcare, Education, Impact","Seed, Series A",0.1-0.2M USD,"Karachi, Pakistan",,Dot & Line acquired by Edkasa (2022),0%,2,2021,Dot & Line,EdTech,"Karachi, Pakistan",Seed,Tutoring service providing after-school math programs through a network of trained tutors,2021,10-30,Pre-Revenue,B2C,Consumers
Planet N Group,"FinTech, E-commerce","Seed, Series A",0.2-0.5M USD,"Karachi, Pakistan",,No exits yet,0%,10,2021,Kuzaco,E-commerce,"Karachi, Pakistan",Seed,Online platform for customized apparel and merchandise,2021,10-30,Pre-Revenue,B2C,Consumers
Planet N Group,"FinTech, E-commerce","Seed, Series A",0.2-0.5M USD,"Karachi, Pakistan",,No exits yet,0%,10,2021,Tez Financial,Fintech,"Karachi, Pakistan",Seed,Digital lender offering nano-loans via mobile app,2021,10-30,Pre-Revenue,B2C,Consumers
CresVentures,Sector Agnostic,Seed,0.05-0.2M USD,"Karachi, Pakistan",,No exits yet,0%,3,2024,QisstPay,Fintech,"Islamabad, Pakistan",Seed,"Buy-now, pay-later platform enabling installment payments for online shoppers",2021,10-30,Pre-Revenue,B2C,Consumers
Walled City Co.,Sector Agnostic,Seed,N/A,"Lahore, Pakistan",,No exits yet,0%,1,2019,Swipe,Fintech,"Lahore, Pakistan",Seed,Financial management app for teenagers with prepaid cards,2021,10-30,Pre-Revenue,B2C,Consumers
Pakistan Investment Network,Sector Agnostic,Seed,N/A,"Islamabad, Pakistan",,No exits yet,0%,1,2018,PublishEX,Tech,"Islamabad, Pakistan",Seed,Platform for digital publishing and content monetization,2021,10-30,Pre-Revenue,B2B,SMEs
Teamup Angels,Sector Agnostic,Seed,0.01-0.05M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2019,Smartchoice.pk,Fintech,"Karachi, Pakistan",Pre-Seed,Online insurance and financial products comparison platform,2023,<10,Pre-Revenue,B2C,Consumers
Teamup Angels,Sector Agnostic,Seed,0.01-0.05M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2019,Edkasa,EdTech,"Lahore, Pakistan",Seed,Mobile app offering video lectures and exam preparation for high school students,2021,10-30,Pre-Revenue,B2C,Consumers
Pakistani Angels (Pak Angels),Sector Agnostic,Seed,0.01-0.05M USD,"Karachi, Pakistan",,No exits yet,0%,2,2019,HackPractice,Tech,"Karachi, Pakistan",Pre-Seed,Online platform for competitive programming practice and recruitment,2023,<10,Pre-Revenue,B2C,Consumers
Pakistani Angels (Pak Angels),Sector Agnostic,Seed,0.01-0.05M USD,"Karachi, Pakistan",,No exits yet,0%,2,2019,Skool.pk,EdTech,"Karachi, Pakistan",Seed,Learning management system and school portal for online classes,2021,10-30,Pre-Revenue,B2B,SMEs
TiE Islamabad Angels,Sector Agnostic,Seed,0.01-0.05M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2019,YPay,Fintech,"Karachi, Pakistan",Pre-Seed,Digital investment app enabling youth to invest in mutual funds with small tickets,2023,<10,Pre-Revenue,B2C,Consumers
TiE Islamabad Angels,Sector Agnostic,Seed,0.01-0.05M USD,"Islamabad, Pakistan",,No exits yet,0%,2,2019,Mauqa Online,Tech,"Islamabad, Pakistan",Seed,On-demand domestic help platform connecting household workers with clients,2021,10-30,Pre-Revenue,B2C,Consumers
Pakistan Business Angel Network,Sector Agnostic,Seed,N/A,"Karachi, Pakistan",,No exits yet,0%,1,2019,EZBuy,E-commerce,"Karachi, Pakistan",Seed,Social e-commerce platform enabling group buying for discounts,2021,10-30,Pre-Revenue,B2C,Consumers
Y Combinator,Sector Agnostic,"Accelerator, Seed",0.125M USD,"Mountain View, USA",,"Notable IPOs (Airbnb, Dropbox, etc)",High (many unicorns),3000,2023,Airlift Technologies,Logistics,"Lahore, Pakistan",Series B,Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistan’s largest funding round,2017,50-100,Revenue-Generating,B2C,Consumers
