Startup Name,10xC,47 Ventures,500 Global (500 Startups),Abercross Holdings,Accelerating Asia,Accion Venture Lab,Acrew Capital,Acumen Fund,Addition,Addition (Lee Fixel),Afore Capital,Alan Rutledge (Angel),Altaf Khan (Angel),Ameer Hamza Sadiq (Angel),Antler,B&Y Venture Partners,BECO Capital,BEENEXT,Banana Capital,Bastian Lehmann (Angel),BeeNext,BitRate (Zayn Bitrate Fund),Biz Stone (Angel),Buckley Ventures,CIO Angel Fund,Canaan Partners,Conjunction Capital,Cordoba Ventures,CresVentures,Defy Partners,Defy.vc,Deosai Ventures,Derayah Venture Capital,Dubai Angel Investors,Elahi Group,Endeavor Catalyst,FJ Labs,Falcon Network,Fatima Gobi Ventures,Flat6Labs,Flourish Ventures,Global Founders Capital,Global Ventures,Glowfish Labs (Venture Studio),Graphene Ventures,Gray Mackenzie Engineering,Habib Bank Limited (HBL),Haitou Global,Hayaat Global,ICU Ventures,Ignite National Technology Fund,Impact Investment Exchange (IIX),Indus Valley Capital,Institutional Venture Partners (IVP),International Finance Corporation,Ithaca Capital,JS Group,Karachi Angels Network,Karandaaz Pakistan,Khwarizmi Ventures,Kingsway Capital,Kinnow Capital,Knollwood Investment,Lahore Angels Network,Lakson Venture Capital,Liberty City Ventures,M. Shahzad (Angel),MDI Ventures,MSA Capital,Mantis VC,Mentors Fund,Meran Bank,Middle East Venture Partners,Middle East Venture Partners (MEVP),Nadeem Hussain (Angel),Nama Ventures,Next Billion Ventures,Nubank,Oikocredit,Omidyar Network,PakLaunch (PakLaunch Investors),Pakistan Business Angel Network,Pakistan Investment Network,Pakistani Angels (Pak Angels),Picus Capital,Planet N Group,Plug and Play,Polymath Digital,Quiet Capital,Quona Capital,RTP Global,Rallycap,Recharge Capital,S7 Ventures,SOSV,Sarmayacar,Sary,Sequoia Capital Surge,Shehryar Hydri (Angel),Shorooq Partners,Sturgeon Capital,Systems Limited,TPL e-Ventures,Teamup Angels,Techstars,Tharros,TiE Islamabad Angels,Turret Capital,United Capital Partners (UCP),VEF (Vostok Emerging Finance),VEON Ventures,Valar Ventures,VentureDive,VentureSouq,Vibe Capital,Walled City Co.,Wamda Capital,Wavemaker Partners,Y Combinator,Zayn Capital,i2i Ventures
10xC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24Seven.pk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIMatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhi Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Airlift Technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alloy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqua Agro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AssignMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BYKEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bagallery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
