Investor Name,Investment Industries,Investment Stages,Past Investment Types,Location,Investor Bio
Indus Valley Capital,FinTech,EdTech,Logistics,"Healthcare,Seed, Series A,Equity,Karachi, Pakistan","Indus Valley Capital is an investor based in Healthcare,Seed, Series A,Equity,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in EdTech rounds. Their deals are usually structured as Logistics, supporting startups with high growth potential."
Sarmayacar,Technology,E-commerce,FinTech,"Series A, Series B, Series C,Equity,Lahore, Pakistan","Sarmayacar is an investor based in Series A, Series B, Series C,Equity,Lahore, Pakistan. They are interested in sectors like Technology and typically invest in E-commerce rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
Fatima Gobi Ventures,FinTech,E-commerce,EdTech,"Pre-Seed, Seed, Series A,Equity,Lahore, Pakistan","Fatima Gobi Ventures is an investor based in Pre-Seed, Seed, Series A,Equity,Lahore, Pakistan. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as EdTech, supporting startups with high growth potential."
Zayn Capital,FinTech,Logistics,AgriTech,"Pre-Seed, Seed, Series A,Equity, Convertible Note,Karachi, Pakistan","Zayn Capital is an investor based in Pre-Seed, Seed, Series A,Equity, Convertible Note,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in Logistics rounds. Their deals are usually structured as AgriTech, supporting startups with high growth potential."
i2i Ventures,Sector Agnostic,Pre-Seed,Seed,"Convertible Note, Equity,Islamabad, Pakistan","i2i Ventures is an investor based in Convertible Note, Equity,Islamabad, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Pre-Seed rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Lakson Venture Capital,Technology,Consumer,Media,"Seed, Series A,Equity,Karachi, Pakistan","Lakson Venture Capital is an investor based in Seed, Series A,Equity,Karachi, Pakistan. They are interested in sectors like Technology and typically invest in Consumer rounds. Their deals are usually structured as Media, supporting startups with high growth potential."
TPL e-Ventures,Technology,Mobility,PropTech,"Pre-Seed, Seed, Series A,Equity,Karachi, Pakistan","TPL e-Ventures is an investor based in Pre-Seed, Seed, Series A,Equity,Karachi, Pakistan. They are interested in sectors like Technology and typically invest in Mobility rounds. Their deals are usually structured as PropTech, supporting startups with high growth potential."
Deosai Ventures,Sector Agnostic,Seed,Series A,"Equity,Islamabad, Pakistan","Deosai Ventures is an investor based in Equity,Islamabad, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
47 Ventures,Technology (Sector Agnostic),Seed,Series A,"Equity,Lahore, Pakistan","47 Ventures is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Technology (Sector Agnostic) and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Cordoba Ventures,Healthcare,Education,Impact,"Seed, Series A,Equity,Karachi, Pakistan","Cordoba Ventures is an investor based in Seed, Series A,Equity,Karachi, Pakistan. They are interested in sectors like Healthcare and typically invest in Education rounds. Their deals are usually structured as Impact, supporting startups with high growth potential."
Acumen Fund,Agriculture,Energy,Health,"Seed, Series A,Equity,New York, USA","Acumen Fund is an investor based in Seed, Series A,Equity,New York, USA. They are interested in sectors like Agriculture and typically invest in Energy rounds. Their deals are usually structured as Health, supporting startups with high growth potential."
Ignite National Technology Fund,ICT,Tech Startups,Seed,"Grant, Equity,Islamabad, Pakistan","Ignite National Technology Fund is an investor based in Grant, Equity,Islamabad, Pakistan. They are interested in sectors like ICT and typically invest in Tech Startups rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Planet N Group,FinTech,E-commerce,Seed,"Series A,Convertible Note, Equity,Karachi, Pakistan","Planet N Group is an investor based in Series A,Convertible Note, Equity,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
CresVentures,Sector Agnostic,Seed,Series A,"Equity,Lahore, Pakistan","CresVentures is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Walled City Co.,Sector Agnostic,Seed,Series A,"Equity,Lahore, Pakistan","Walled City Co. is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Pakistan Investment Network,Sector Agnostic,Seed,Series A,"Equity,Karachi, Pakistan","Pakistan Investment Network is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Teamup Angels,Sector Agnostic,Seed,Series A,"Equity,Islamabad, Pakistan","Teamup Angels is an investor based in Equity,Islamabad, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Pakistani Angels (Pak Angels),Sector Agnostic,Seed,Equity,"SAFE,Islamabad, Pakistan","Pakistani Angels (Pak Angels) is an investor based in SAFE,Islamabad, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
TiE Islamabad Angels,Sector Agnostic,Seed,Equity,"Islamabad, Pakistan","TiE Islamabad Angels is an investor based in Islamabad, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
Pakistan Business Angel Network,Sector Agnostic,Seed,Equity,"Karachi, Pakistan","Pakistan Business Angel Network is an investor based in Karachi, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
Y Combinator,Tech,Internet,SaaS,"Pre-Seed, Seed,SAFE, Equity,Mountain View, USA","Y Combinator is an investor based in Pre-Seed, Seed,SAFE, Equity,Mountain View, USA. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as SaaS, supporting startups with high growth potential."
Sequoia Capital,Tech,Consumer,FinTech,"Seed, Series A, Growth,Equity,Menlo Park, USA","Sequoia Capital is an investor based in Seed, Series A, Growth,Equity,Menlo Park, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
Tiger Global Management,Internet,FinTech,B2B,"Pre-Seed, Series B, Growth,Equity, Convertible Note,New York, USA","Tiger Global Management is an investor based in Pre-Seed, Series B, Growth,Equity, Convertible Note,New York, USA. They are interested in sectors like Internet and typically invest in FinTech rounds. Their deals are usually structured as B2B, supporting startups with high growth potential."
Prosus Ventures (Naspers),E-commerce,Ride-hailing,FinTech,"Series B, Series C,Equity,Amsterdam, Netherlands","Prosus Ventures (Naspers) is an investor based in Series B, Series C,Equity,Amsterdam, Netherlands. They are interested in sectors like E-commerce and typically invest in Ride-hailing rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
Kleiner Perkins,Tech,B2B,E-commerce,"Series A, Series B,Equity,Menlo Park, USA","Kleiner Perkins is an investor based in Series A, Series B,Equity,Menlo Park, USA. They are interested in sectors like Tech and typically invest in B2B rounds. Their deals are usually structured as E-commerce, supporting startups with high growth potential."
Firstminute Capital,Tech,FinTech,SaaS,"Seed,Equity,London, UK","Firstminute Capital is an investor based in Seed,Equity,London, UK. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as SaaS, supporting startups with high growth potential."
Hustle Fund,Tech,Internet,Pre-Seed,"Seed,SAFE, Equity,San Francisco, USA","Hustle Fund is an investor based in Seed,SAFE, Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Internet rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
20VC (Twenty Minute VC),Tech,Consumer,Seed,"Equity,London, UK","20VC (Twenty Minute VC) is an investor based in Equity,London, UK. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Buckley Ventures,Tech,Consumer,Crypto,"Seed, Series A,Equity,San Francisco, USA","Buckley Ventures is an investor based in Seed, Series A,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Crypto, supporting startups with high growth potential."
Quiet Capital,FinTech,Healthcare,Marketplaces,"Seed, Series B,Equity,San Francisco, USA","Quiet Capital is an investor based in Seed, Series B,Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in Healthcare rounds. Their deals are usually structured as Marketplaces, supporting startups with high growth potential."
Middle East Venture Partners,Transport,Logistics,FinTech,"Series A, Series B,Equity,Dubai, UAE","Middle East Venture Partners is an investor based in Series A, Series B,Equity,Dubai, UAE. They are interested in sectors like Transport and typically invest in Logistics rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
Gobi Partners,E-commerce,Mobility,FinTech,"Seed, Series A,Equity,Kuala Lumpur, Malaysia","Gobi Partners is an investor based in Seed, Series A,Equity,Kuala Lumpur, Malaysia. They are interested in sectors like E-commerce and typically invest in Mobility rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
VentureSouq (VSQ),FinTech,SaaS,Seed,"Series A,Equity,Dubai, UAE","VentureSouq (VSQ) is an investor based in Series A,Equity,Dubai, UAE. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Global Founders Capital,E-commerce,Marketplaces,Seed,"Series A,Equity,Berlin, Germany","Global Founders Capital is an investor based in Series A,Equity,Berlin, Germany. They are interested in sectors like E-commerce and typically invest in Marketplaces rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Next Billion Ventures,Emerging Markets Tech,Seed,Equity,"Washington, DC, USA","Next Billion Ventures is an investor based in Washington, DC, USA. They are interested in sectors like Emerging Markets Tech and typically invest in Seed rounds. Their deals are usually structured as Equity, supporting startups with high growth potential."
Alter Global,Emerging Markets Tech,Seed,Series A,"Equity,San Francisco, USA","Alter Global is an investor based in Equity,San Francisco, USA. They are interested in sectors like Emerging Markets Tech and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Antler,Tech,Various,Pre-Seed,"Seed,Equity,Singapore, Singapore","Antler is an investor based in Seed,Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Endeavor Catalyst,Tech,Scale-ups,Series B,"Series C,Equity,New York, USA","Endeavor Catalyst is an investor based in Series C,Equity,New York, USA. They are interested in sectors like Tech and typically invest in Scale-ups rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
500 Global (500 Startups),Tech,SaaS,FinTech,"Seed,Equity,San Francisco, USA","500 Global (500 Startups) is an investor based in Seed,Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
SOSV,FinTech,E-commerce,InsurTech,"Pre-Seed, Seed,Equity,Princeton, USA","SOSV is an investor based in Pre-Seed, Seed,Equity,Princeton, USA. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as InsurTech, supporting startups with high growth potential."
Valar Ventures,FinTech,Seed,Series A,"Equity,New York, USA","Valar Ventures is an investor based in Equity,New York, USA. They are interested in sectors like FinTech and typically invest in Seed rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Liberty City Ventures,FinTech,Crypto,Seed,"Equity,New York, USA","Liberty City Ventures is an investor based in Equity,New York, USA. They are interested in sectors like FinTech and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Canaan Partners,FinTech,Consumer,Seed,"Series A,Equity,Menlo Park, USA","Canaan Partners is an investor based in Series A,Equity,Menlo Park, USA. They are interested in sectors like FinTech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Addition (Lee Fixel),FinTech,Consumer,Seed,"Series B,Equity,New York, USA","Addition (Lee Fixel) is an investor based in Series B,Equity,New York, USA. They are interested in sectors like FinTech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Mantis VC,Consumer,FinTech,Seed,"Equity,Los Angeles, USA","Mantis VC is an investor based in Equity,Los Angeles, USA. They are interested in sectors like Consumer and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Banana Capital,FinTech,Consumer,Seed,"SAFE,Ann Arbor, USA","Banana Capital is an investor based in SAFE,Ann Arbor, USA. They are interested in sectors like FinTech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
First Round Capital,Tech,Consumer,Seed,"Equity,San Francisco, USA","First Round Capital is an investor based in Equity,San Francisco, USA. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Dragoneer Investment Group,E-commerce,FinTech,Series B,"Growth,Equity,San Francisco, USA","Dragoneer Investment Group is an investor based in Growth,Equity,San Francisco, USA. They are interested in sectors like E-commerce and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Defy Partners,Tech,B2B,Series A,"Equity,Woodside, USA","Defy Partners is an investor based in Equity,Woodside, USA. They are interested in sectors like Tech and typically invest in B2B rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Acrew Capital,FinTech,SaaS,Series A,"Equity,San Francisco, USA","Acrew Capital is an investor based in Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Wavemaker Partners,SaaS,B2B,E-commerce,"Seed, Series A,Equity,Singapore, Singapore","Wavemaker Partners is an investor based in Seed, Series A,Equity,Singapore, Singapore. They are interested in sectors like SaaS and typically invest in B2B rounds. Their deals are usually structured as E-commerce, supporting startups with high growth potential."
