10xC,Fintech,Karachi,Pakistan,N/A,"""Digital insurance marketplace and financial services platform""","""Ignite NIC""  ",,
24Seven.pk,E-commerce,Karachi,Pakistan,Pre-Series A,"""Online grocery delivery service offering 30-minute deliveries""",N/A  ,,
A2Z Creatorz,IT Services,Karachi,Pakistan,N/A,"""Web design and development agency""",N/A  ,,
Abhi Finance,Fintech,Karachi,Pakistan,Series A,"""Salary advance and financial wellness platform for employees""","""Trusted by RTP Global"," Global Ventures""  ",
AdalFi,Fintech,Karachi,Pakistan,Seed,"""Digital lending infrastructure and credit scoring startup""",YC Alum  ,,
Affordables (Affordable.pk),E-commerce,Lahore,Pakistan,N/A,"""Online fashion retail marketplace for affordable clothing""",N/A  ,,
Agrim Commodities,AgriTech,Lahore,Pakistan,N/A,"""Commodity trading platform for agricultural products""",N/A  ,,
Airlift Technologies,Logistics,Lahore,Pakistan,Series B (Defunct),"""Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistans largest funding round:contentReference[oaicite:6]{index=6}""","""Investors: Buckley Ventures"," 20VC:contentReference[oaicite:7]{index=7}""  ",
Alfoze,Marketing,Islamabad,Pakistan,N/A,"""Digital marketing and web solutions provider""",N/A  ,,
Anzen (formerly Cowlar),IoT/AgriTech,Islamabad,Pakistan,Seed,"""Smart cow monitoring IoT collars improving dairy farm productivity""","""Plan9 Incubator Alumni""  ",,
APIMatic,Developer Tools,San Francisco,USA,Series A,"""API tools and code generation platform (Pakistani-founded startup)""",TechStars Alum  ,,
Arbisoft,Software,Lahore,Pakistan,N/A,"""Software development and technology consulting company""",N/A  ,,
Arpatech,IT Services,Karachi,Pakistan,N/A,"""Tech incubator and software development firm""",N/A  ,,
Arzish Labs,Consulting,Islamabad,Pakistan,N/A,"""Startup consultancy and ecosystem builder (organizers of Pak Startup Expo)""",N/A  ,,
AssignMe,EdTech,Karachi,Pakistan,N/A,"""Online platform for student assignments and educational resources""",N/A  ,,
AugmentCare,Healthtech,Lahore,Pakistan,Series A (Acquired),"""Digital healthcare platform for telemedicine and clinic management""",Acquired (Ailaaj, 2021)  ,
Aylaaj (Ailaaj),Healthtech,Karachi,Pakistan,Series A,"""Online pharmacy and healthcare services platform (formed by AugmentCare merger)""","""N/A""  ",,
Bazaar Technologies,E-commerce,Karachi,Pakistan,Series B,"""B2B e-commerce marketplace connecting retail shops with wholesalers (raised ~$70M):contentReference[oaicite:8]{index=8}""","""Dragoneer Investment Group"," Tiger Global""  ",
BeautyHooked,Beauty Tech,Lahore,Pakistan,Seed,"""Online beauty services marketplace and salon booking platform""",500 Startups Alum  ,,
BizBite (BizByte),Media,Lahore,Pakistan,N/A,"""Digital media company providing bite-sized business news content""",N/A  ,,
Blutech Consulting,IT Services,Karachi,Pakistan,N/A,"""Technology consulting and software solutions provider""",N/A  ,,
BoloTech,EdTech,Karachi,Pakistan,N/A,"""Educational technology solutions provider (learning platforms)""",N/A  ,,
BookMe.pk,Traveltech,Lahore,Pakistan,Series A,"""Online ticketing platform for transportation and entertainment bookings (over 6M users):contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10}""","""Investors: Sarmayacar"," Beenext""  ",
Brandsynario,Media,Karachi,Pakistan,N/A,"""Digital media publisher covering brands and marketing news""",N/A  ,,
BridgeLinx,Logistics,Lahore,Pakistan,Seed,"""Digital freight marketplace connecting shippers and truckers (logistics startup)""",Sequoias Surge, peckshine  ,
BYKEA,Mobility,Karachi,Pakistan,Series B,"""Motorcycle ride-hailing and delivery super-app for transport and logistics""",Investors: Prosus, MEVP  ,
Byte,Foodtech,Karachi,Pakistan,Seed,"""Cloud kitchen and food delivery startup focusing on virtual restaurant brands""",N/A  ,,
Canary Tech,IT Services,Rawalpindi,Pakistan,N/A,"""Software development and IT outsourcing services company""",N/A  ,,
Careem,Mobility,Dubai,United Arab Emirates,Acquired,"""Ride-hailing and delivery platform operating across MENA & Pakistan (acquired by Uber)""","""Acquired by Uber (2019)""  ",,
Cariger,Auto Services,Karachi,Pakistan,N/A,"""Car maintenance and automotive services at customers doorstep""",N/A  ,,
Carpet Studio,Design,Lahore,Pakistan,N/A,"""Online custom carpets and interior design solutions startup""",N/A  ,,
